Zawiadomienie;Rodzaj zawiadomienia;Utworzono dnia;Pocz. zakłóc. (godz.);Koniec zakłóc.(godz.);Przestój;Urządzenie;Lokalizacja funkc.;Lokalizacja;Opis;Czas przestoju;Jedn. czasu przest.;Wpływ;Kod uszkodzenia;Tekst dot. szkody;Kod przyczyny;Ozn. lokaliz. funkc.;Line functional location;Ozn. lokaliz. funkc.;Oznaczenie obiektu
12514837;1P;31.01.2025;08:43:12;18:55:07;X;10117945;PLPA-PR-U11-010703-003;UGP11;Uszkodzona siatka;1,02E+01;H;1;104;Złamanie;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół chłodniczy 2
12515060;1P;31.01.2025;10:12:58;12:21:16;X;10116474;PLPA-PR-U11-010718;UGP11;Brak zaślepek przewodów powietrza;2,14E+00;H;3;106;Wyciek;108;LINIA WAŻĄCO-PAKUJĄCA 8 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Szafa sterownicza linii
12514648;1P;31.01.2025;08:53:06;11:13:58;X;10152113;PLPA-PR-U11-010703-002;UGP11;Wydmuch powierza z robótek;2,35E+00;H;2;106;Wyciek;108;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Kartoniarka czapkarka
12514736;1P;31.01.2025;09:51:24;18:46:22;X;10116398;PLPA-PR-U11-010703-004;UGP11;Uszkodzony zawór do powietrza;3,29E+01;H;2;104;Złamanie;108;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 5
12515120;1P;31.01.2025;10:51:17;01:31:30;X;10152112;PLPA-PR-U11-010703-002;UGP11;Niezabezpieczone przewody;6,27E+01;H;3;104;Złamanie;;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-23 -6
12515121;1P;31.01.2025;10:52:23;01:15:59;X;10152112;PLPA-PR-U11-010703-002;UGP11;Nieszczelność przewodów powietrza;6,24E+01;H;3;104;Złamanie;;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-23 -6
12514828;1P;31.01.2025;11:15:05;00:00:00;X;10117966;PLPA-PR-U11-010703-003;UGP11;Złamany klucz do drzwi wejściowych;0,00E+00;H;2;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół dozowania produktu
12515004;1P;31.01.2025;10:04:53;01:15:09;X;10152109;PLPA-PR-U11-010703-002;UGP11;Brak zaślepek na przewodach powietrza;6,32E+01;H;2;103;Zużycie;;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-23 -5
12514742;1P;31.01.2025;09:57:02;11:21:45;;10115784;PLPA-PR-U11-010703-006;UGP11;Zaślepione przewody powietrza opaskami;0,00E+00;H;1;106;Wyciek;108;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 3
12514744;1P;31.01.2025;10:08:30;00:00:00;X;10116474;PLPA-PR-U11-010718;UGP11;Brak zaślepek przewodów powietrza;0,00E+00;H;2;;;;LINIA WAŻĄCO-PAKUJĄCA 8 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Szafa sterownicza linii
12514737;1P;31.01.2025;09:53:10;18:24:58;X;10115783;PLPA-PR-U11-010703-006;UGP11;Urwane mocowanie śruby do regulacji pro;1,48E+00;H;1;100;Deformacja;108;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 2
12515110;1P;31.01.2025;10:49:56;01:33:28;X;10152109;PLPA-PR-U11-010703-002;UGP11;Niezabezpieczone przewody;6,27E+01;H;3;104;Złamanie;;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-23 -5
12514978;1P;31.01.2025;09:56:08;11:21:00;X;10115783;PLPA-PR-U11-010703-006;UGP11;Zaślepione przewody powietrza opaskami;1,41E+00;H;1;106;Wyciek;108;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 2
12515008;1P;31.01.2025;10:06:48;20:38:12;X;10116483;PLPA-PR-U11-010716;UGP11;Nieszczelność odstojnika pod wagą nasyp;4,50E+00;H;2;106;Wyciek;108;LINIA WAŻĄCO-PAKUJĄCA 7 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Szafa sterownicza linii
12515170;1P;31.01.2025;11:40:58;00:00:00;X;10116594;PLPA-PR-U11-010703-005;UGP11;Brak motylka na zaworze próżni;0,00E+00;H;3;;;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -1
12515156;1P;31.01.2025;11:31:23;00:00:00;X;10116403;PLPA-PR-U11-010703-004;UGP11;Zepsute mocowanie transportera;0,00E+00;H;2;;;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 7
12515245;1P;31.01.2025;13:42:51;16:21:40;;10116831;PLPA-PR-U11-010717;UGP11;Brak zaworu otwierania i zamykania powi;0,00E+00;H;1;104;Złamanie;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 3     003775
12515266;1P;31.01.2025;13:38:09;21:06:33;;10116831;PLPA-PR-U11-010717;UGP11;Brak górnej regulacji;0,00E+00;H;3;104;Złamanie;108;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 3     003775
12515352;1P;31.01.2025;13:28:05;20:58:48;;10087519;PLPA-PR-U11-010717;UGP11;Nie działajacy manometr na robotach;0,00E+00;H;1;104;Złamanie;108;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 1     003230
12515312;1P;31.01.2025;13:30:26;00:00:00;;10116830;PLPA-PR-U11-010717;UGP11;Brak osłonki na zegarze manometr;0,00E+00;H;3;;;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 2     003231
12515315;1P;31.01.2025;13:30:26;19:59:45;;10116830;PLPA-PR-U11-010717;UGP11;Brak osłonki na zegarze manometr;0,00E+00;H;3;104;Złamanie;108;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 2     003231
12515370;1P;31.01.2025;13:36:03;23:37:20;;10116830;PLPA-PR-U11-010717;UGP11;Brak bębna ze sprężonym powietrzem;0,00E+00;H;1;104;Złamanie;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 2     003231
12515401;1P;31.01.2025;13:53:04;00:00:00;X;10115784;PLPA-PR-U11-010703-006;UGP11;Naprawa wtyczki przewodu zasilania sił;0,00E+00;H;1;;;;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 3
12515836;1P;01.02.2025;04:47:15;05:23:18;X;10087519;PLPA-PR-U11-010717;UGP11;Nieprawidłowe podawanie kleju;6,01E-01;H;2;103;Zużycie;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 1     003230
12516300;1P;01.02.2025;02:27:41;05:27:41;X;10116593;PLPA-PR-U11-010703-005;UGP11;Wymiana kontraktora kartoniarki tac;3,00E+00;H;3;107;Awaria sterowania;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -2   005814
12516373;1P;01.02.2025;07:54:47;08:31:34;X;10116594;PLPA-PR-U11-010703-005;UGP11;Do ustawienia kar nr 2;6,13E-01;H;2;100;Deformacja;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -1
12516770;1P;01.02.2025;14:09:44;14:56:46;X;10116593;PLPA-PR-U11-010703-005;UGP11;Awaria zamykania młotka;7,84E-01;H;3;103;Zużycie;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -2   005814
12516704;1P;01.02.2025;15:49:12;16:42:03;X;10116594;PLPA-PR-U11-010703-005;UGP11;Urwany ogranicznik młotka w1;8,81E-01;H;2;104;Złamanie;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -1
12517080;1P;02.02.2025;01:23:33;02:17:43;X;10116403;PLPA-PR-U11-010703-004;UGP11;Porwany pas za gwiazdą;9,03E-01;H;2;100;Deformacja;108;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 7
12516912;1P;01.02.2025;19:40:47;22:21:57;X;10116595;PLPA-PR-U11-010703-005;UGP11;Urwany rygiel;2,69E+00;H;2;102;Zacinanie się;108;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -4
12516898;1P;01.02.2025;22:22:21;00:00:00;X;10127175;PLPA-PR-U11-010703-004;UGP11;Maszyna wydmuchuje dobrego cukierka;0,00E+00;H;2;;;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1-0
12516839;1P;01.02.2025;21:16:19;22:21:05;X;10115783;PLPA-PR-U11-010703-006;UGP11;Magazynek niepobiera pirotino;1,08E+00;H;2;102;Zacinanie się;108;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 2
12517060;1P;01.02.2025;23:38:41;00:00:00;X;10158831;PLPA-PR-U11-010703-006;UGP11;Regulacja czujnika;0,00E+00;H;2;;;;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakująca zbiorcza MW 05/06
12517046;1P;02.02.2025;08:27:28;12:18:32;X;10116594;PLPA-PR-U11-010703-005;UGP11;Awaria formowacza kart nr 2;3,85E+00;H;3;100;Deformacja;108;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -1
12516995;1P;02.02.2025;09:55:11;01:14:06;X;10116398;PLPA-PR-U11-010703-004;UGP11;Błędy korekcji;1,53E+01;H;3;107;Awaria sterowania;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 5
12517351;1P;02.02.2025;09:47:25;10:45:00;;10079623;PLPA-PR-U11-010703-004;UGP11;NAPRAWA KORYT KABLOWYCH WINDY;0,00E+00;H;3;100;Deformacja;112;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Urządzenie do transportu palet /winda/
12517405;1P;02.02.2025;21:28:25;22:59:16;X;10116830;PLPA-PR-U11-010717;UGP11;Uszkodzone gumki na Navetta;1,51E+00;H;2;103;Zużycie;;LINIA PAKUJĄCA ERMETICO RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Maszyna pakująca Ermetico 2     003231
12517562;1P;02.02.2025;20:19:43;01:14:25;;10116398;PLPA-PR-U11-010703-004;UGP11;Uszkodzone pasy;0,00E+00;H;3;103;Zużycie;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 5
12517594;1P;02.02.2025;20:18:14;01:14:39;;10116403;PLPA-PR-U11-010703-004;UGP11;Uszkodzone pasy;0,00E+00;H;3;103;Zużycie;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 7
12517643;1P;03.02.2025;01:28:12;02:11:27;X;10132055;PLPA-PR-U11-010721;UGP11;Oderwany przewód siłownika;7,21E-01;H;3;104;Złamanie;;LINIA WAŻĄCO-PAKUJĄCA 11 T8 L.21 RAFFAEL;PLPA-PR-U11;UGP11 RAFFAELLO;1-Zespół zamykania
12517557;1P;03.02.2025;01:06:01;02:14:00;X;10201857;PLPA-PR-U11-010709;UGP11;Pęknięta rączka drzwi kartoniarki;1,13E+00;H;1;104;Złamanie;;LINIA WAŻĄCO-PAKUJĄCA 12 T9 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Zespół zamykania
12517850;1P;03.02.2025;01:02:28;01:26:51;X;10116451;PLPA-PR-U11-010718;UGP11;Przyklejony taśmą ochraniacz na rant;4,06E-01;H;1;103;Zużycie;;LINIA WAŻĄCO-PAKUJĄCA 8 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Kartoniarka
12517707;1P;03.02.2025;01:17:14;00:00:00;X;10085216;PLPA-PR-U11-010716;UGP11;Brak zaworu;0,00E+00;H;1;;;;LINIA WAŻĄCO-PAKUJĄCA 7 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Kartoniarka
12517860;1P;03.02.2025;01:50:33;05:38:57;X;10117908;PLPA-PR-U11-010703-003;UGP11;Zerwane śruby;3,81E+00;H;1;104;Złamanie;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Dociskacz form 1
12517935;1P;03.02.2025;04:27:11;00:00:00;X;10118187;PLPA-PR-U11-010703-003;UGP11;Algaier polewy leister przypala polewę;0,00E+00;H;1;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Instalacja technologiczna polewy
12519672;1P;03.02.2025;21:04:43;05:45:00;;10117944;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD I NAPRAWA DMUCHAW;0,00E+00;H;3;113;Błąd uziemienia / Błąd zerowania;112;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Oblewarka
12521351;1P;04.02.2025;22:05:12;23:22:21;X;10117959;PLPA-PR-U11-010703-003;UGP11;Awaria czujki;1,29E+00;H;2;107;Awaria sterowania;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół dystrybucji tac 24x6
12521284;1P;04.02.2025;23:13:33;17:50:45;X;10116398;PLPA-PR-U11-010703-004;UGP11;Opadająca osłona noży;1,86E+01;H;2;103;Zużycie;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 5
12521285;1P;04.02.2025;23:14:33;00:05:41;X;10115784;PLPA-PR-U11-010703-006;UGP11;Brak zasilania maszyny;8,52E-01;H;3;112;Awria zasilania;;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 3
12521396;1P;05.02.2025;03:37:31;05:09:42;X;10132055;PLPA-PR-U11-010721;UGP11;Wymiana czujnika na wyjściu;1,54E+00;H;1;107;Awaria sterowania;;LINIA WAŻĄCO-PAKUJĄCA 11 T8 L.21 RAFFAEL;PLPA-PR-U11;UGP11 RAFFAELLO;1-Zespół zamykania
12521713;1P;05.02.2025;06:09:03;07:46:52;X;10115783;PLPA-PR-U11-010703-006;UGP11;Kolizja podbieraków pirotino z lancuche;1,63E+00;H;3;100;Deformacja;;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 2
12521701;1P;05.02.2025;05:01:18;17:49:24;X;10115783;PLPA-PR-U11-010703-006;UGP11;Kolizja łańcucha pirottino;1,28E+01;H;1;102;Zacinanie się;;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1/T3/T4 - 2
12521740;1P;05.02.2025;05:07:02;07:53:00;X;10117956;PLPA-PR-U11-010703-003;UGP11;Uszkodzone łożysko od transportera;2,77E+00;H;3;103;Zużycie;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół chłodniczy 3
12521708;PT;05.02.2025;06:34:23;00:00:00;;10117886;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD MODUŁU TNACEGO;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2 - Moduł tnący 1
12521719;1P;05.02.2025;07:34:52;00:00:00;X;10152109;PLPA-PR-U11-010703-002;UGP11;Brak szybki;0,00E+00;H;3;;;;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-23 -5
12521709;PT;05.02.2025;06:35:15;00:00:00;;10117887;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD MODUŁU TNACEGO;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2- Moduł tnący 2
12521800;PT;05.02.2025;06:36:39;00:00:00;;10153200;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD PODAJNIKA MIGDAŁA;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Podajnik migdała Labotek
12521801;PT;05.02.2025;06:43:07;00:00:00;;10117915;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD PRZEKŁADACZA;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Przekładacz na trans. siat. 2   005114
12521802;PT;05.02.2025;06:44:46;00:00:00;;10118744;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD  SIATKI;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Transporter siatkowy
12521803;PT;05.02.2025;06:47:02;00:00:00;;10117954;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD TRANSPORTERA;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Transporter powrotu wióra 1   005092/7
12521804;PT;05.02.2025;06:48:36;00:00:00;;10117955;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD TRANSPORTERA;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Transporter powrotu wióra 2   005092/8
12521805;PT;05.02.2025;06:50:21;00:00:00;;10117966;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD CZUJNIKÓW;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół dozowania produktu
12521806;PT;05.02.2025;06:51:48;00:00:00;;10132685;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD SZAF STEROWNICZYCH;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół szaf elektrycznych
12521808;PT;05.02.2025;06:59:49;00:00:00;;10125328;PLPA-PR-U11-010703-004;UGP11;PRZEGLĄD WYMIANA NOŻY;0,00E+00;H;;;;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Pakowarka pozioma 7
12521820;1P;05.02.2025;06:57:20;00:00:00;X;10117965;PLPA-PR-U11-010703-003;UGP11;Przekroczony czas zatrzymania cyklu RC1;0,00E+00;H;3;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespól transporterów pod przekładaczam
12521840;PT;05.02.2025;07:02:44;00:00:00;;10079583;PLPA-PR-U11-010703-004;UGP11;PRZEGLĄD WYMIANA TAŚM;0,00E+00;H;;;;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Pakowarka pozioma 1
12521841;PT;05.02.2025;07:07:07;00:00:00;;10116574;PLPA-PR-U11-010703-005;UGP11;PRZEGLĄD PNEUMATYKI(SIŁOWNIKÓW,ELEKTROZA;0,00E+00;H;;;;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Zespół zamykania kartonika
12521842;PT;05.02.2025;07:10:06;00:00:00;;10116590;PLPA-PR-U11-010703-005;UGP11;PRZEGLĄD TRANSPORTERA PIONOWEGO;0,00E+00;H;;;;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Transporter pionowy linii 3-4
12521843;PT;05.02.2025;07:12:51;00:00:00;;10129661;PLPA-PR-U11-010703-006;UGP11;PRZEGLĄD UKŁADU KLEJENIA;0,00E+00;H;;;;;LINIE PAKUJĄCE T1,T3,T4-2,3 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Składacz kartonów
12521844;PT;05.02.2025;07:15:54;00:00:00;;10116412;PLPA-PR-U11-010703-002;UGP11;PRZEGLĄD LINII PAKOWANIA;0,00E+00;H;;;;;LINIA WAŻĄCO-PAKUJĄCA 5,6 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania wieloformat. T15/T23
12521845;PT;05.02.2025;07:17:46;00:00:00;;10116464;PLPA-PR-U11-010718;UGP11;PRZEGLĄD UKŁADU KLEJENIA;0,00E+00;H;;;;;LINIA WAŻĄCO-PAKUJĄCA 8 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Topielnik kleju
12521847;PT;05.02.2025;07:21:38;00:00:00;;10125840;PLPA-PR-U11-010719;UGP11;PRZEGLĄD PRZEKŁADACZA;0,00E+00;H;;;;;LINIA WAŻĄCO-PAKUJĄCA 10 T45 L.19 RAFFAE;PLPA-PR-U11;UGP11 RAFFAELLO;1-Przekładacz Linii ważąco pakującej
12521785;1P;05.02.2025;07:40:00;09:44:00;X;10117910;PLPA-PR-U11-010703-003;UGP11;Urwana listwa prowadząca formy;2,07E+00;H;3;104;Złamanie;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zespół chłodniczy 1
12521817;1P;05.02.2025;08:44:43;09:36:23;X;10116394;PLPA-PR-U11-010703-004;UGP11;Noże nie rozcinają foli;8,61E-01;H;3;100;Deformacja;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 4
12521818;1P;05.02.2025;08:45:50;17:13:47;X;10116398;PLPA-PR-U11-010703-004;UGP11;Słaba szczelność na zgrzewie poprzeczny;8,47E+00;H;3;100;Deformacja;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 5
12521837;1P;05.02.2025;09:01:53;11:33:34;X;10130780;PLPA-PR-U11-010703-005;UGP11;Nie klei covera;2,53E+00;H;3;105;Zatkanie;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zrobotyzowane urząd.nakład. cover 2
12521905;PT;05.02.2025;09:04:10;00:00:00;;10245066;PLPA-PR-U11-010703-003;UGP11;PRZEGLĄD SERWISOWY OSUSACZA-DONALDSON;0,00E+00;H;;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;2-Osusacz sprężonego powietrza
12522154;1P;05.02.2025;10:13:26;17:50:14;X;10116594;PLPA-PR-U11-010703-005;UGP11;Do ustawienia kart nr 2;7,61E+00;H;3;100;Deformacja;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -1
12522190;1P;05.02.2025;11:00:20;17:48:53;X;10079670;PLPA-PR-U11-010703-005;UGP11;Urwany siłownik;6,81E+00;H;3;104;Złamanie;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Zrobotyzowane urząd.nakład.cover 1
12522066;1P;05.02.2025;11:50:00;12:49:37;X;10117914;PLPA-PR-U11-010703-003;UGP11;Nie rozsuwa się w osi Y;9,94E-01;H;3;102;Zacinanie się;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Przekładacz na trans. siat. 1   005113
12522143;1P;05.02.2025;11:54:14;12:49:06;X;10201857;PLPA-PR-U11-010709;UGP11;Złe skalda kartonik;9,14E-01;H;2;100;Deformacja;;LINIA WAŻĄCO-PAKUJĄCA 12 T9 RAFFAELLO;PLPA-PR-U11;UGP11 RAFFAELLO;1-Zespół zamykania
12522267;1P;05.02.2025;14:50:00;00:00:00;X;10117914;PLPA-PR-U11-010703-003;UGP11;Nie rozsuwa się w osi Y;0,00E+00;H;3;;;;MODELATOR RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Przekładacz na trans. siat. 1   005113
12522400;1P;05.02.2025;13:17:21;00:00:00;X;10116398;PLPA-PR-U11-010703-004;UGP11;Skacząca korekcja foli;0,00E+00;H;3;;;;LINIE PAKUJĄCE T1-0,1,4,5,6,7 RAFFAELLO;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia pakowania T1 - 5
12522571;1P;05.02.2025;16:01:28;17:13:10;;10116595;PLPA-PR-U11-010703-005;UGP11;Ssawki przekladacza T15;0,00E+00;H;3;103;Zużycie;;LINIE WAŻĄCO-PAKUJACE T15 1,2,3,4 RAFFAE;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;1-Linia ważąco-pakujaca T-15 -4
