Nr zlecenia;Rodzaj zlecenia;Zakład;Lokalizacja / zakład;Krótki tekst;Line functional location;Ozn. lokaliz. funkc.;Impianto functional location;Ozn. lokaliz. funkc.;Urządzenie;Oznaczenie obiektu;Odpow. stanow. rob.;Status systemu;Baz. term. rozp.;Baz.term.zak.;Wprowadził(a);Data wprowadzenia;Godzina utworzenia;Zawiadomienie;Rodzaj zawiadomienia;Notification Long Text;Utworzono dnia;Utworzone przez;Problem;Kod uszkodzenia;Tekst dot. szkody;Część obiektu;Kod części obiektu;Tek. kodu części ob.;Przyczyna;Kod przyczyny;Tekst kodu przyczyny;Początek zakłócenia;Pocz. zakłóc. (godz.);Koniec zakłócenia;Koniec zakłóc.(godz.);Żądane rozpoczęcie;Żądana godzina rozp.;Żądane zakończenie;Żądana godz. zak.;Czas przestoju;Jedn. czasu przest.;Zmienione przez;Zmienione dnia
50000224833;PLM1;PLPA;UGP42;USZKODZONY PRZEWÓD OD TERMOPARY;PLPA-PR-U42-011442;KBW 1/COCO;PLPA-PR-U42-011442-003;KBW 1. Pakowanie;10192204;1-Pakowaczka 2;90300020;ZWOL CZPT BrMt KWS  PRRO;08.06.2025;08.06.2025;WROBEDANI2;08.06.2025;01:35:30;12679785;1P;08.06.2025 01:36:40 CET Daniel Wróbel (WROBEDANI2) Uszkodzony przewód od termopary. Wymiana przewodu.;08.06.2025;WROBEDANI2;ZPM6;110;Przerwa w obwodzie;PM1;0040;Części daleko od miejsca naprawy;ZPM5;108;utrzymanie ruchu;08.06.2025;01:35:25;;00:00:00;08.06.2025;00:55:25;08.06.2025;01:14:20;0;H;;
50000224834;PLM6;PLPA;UGP21;Przypalona czekolada na uszczelniaczu;PLPA-PR-U21-010123;FIGURA CAVA;PLPA-PR-U21-010123-007;FC Urządzenia przygotowania półproduktu;10103387;1-Temperówka czekolady OPM;90300020;ZWOL CZPT DMNK KWS  MOBI NPT  PRRO;08.06.2025;;LASOTSLAW1;08.06.2025;07:53:39;12679607;1P;07.06.2025 15:38:35 CET PIOTR GAWROŃSKI (GAWROPIOT1) Temperówka czekolady ---------------------------------------- 08.06.2025;07.06.2025;GAWROPIOT1;ZPM5;106;Wyciek;PM1;0040;Części daleko od miejsca naprawy;ZPM5;104;Zła jakość opakowania lub surowców;07.06.2025;15:35:13;08.06.2025;17:45:51;08.06.2025;07:53:36;08.06.2025;17:30:51;0;H;LASOTSLAW1;08.06.2025
50000224835;PLM1;PLPA;UGP31;Ucięta data;PLPA-PR-U31-011331;Nutella T400;PLPA-PR-U31-011331-001;Nutella 400g;10107879;1-Drukarka;90300030;ZAK  CZPT BrMt KWS  MOBI PRRO;08.06.2025;;SZULCMARC1;08.06.2025;08:08:33;12679942;1P;08.06.2025 08:52:02 CET Marcin Szulczyk (SZULCMARC1) Mycie głowicy i ustawienie strumienia w drukarce Hitachi;08.06.2025;WRZOSANNA1;ZPM6;107;Awaria sterowania;;;;;;;08.06.2025;08:00:08;08.06.2025;09:05:25;08.06.2025;08:08:30;08.06.2025;08:51:01;1,09;H;KOMORPATR1;15.07.2025
50000224836;PLM1;PLPA;UGP43;Rozdziagniety łańcuch lub problem;PLPA-PR-U43-011445;KB 2.;PLPA-PR-U43-011445-003;KB 2. Pakowanie;10102050;1-Pakowaczka 4;90300020;ZWOL CZPT DMNK KWS  MOBI NPT  PRRO;08.06.2025;;SZPARDANI1;08.06.2025;11:47:38;12679925;1P;08.06.2025 10:30:40 CET MACIEJ DĘBECKI (DEBECMACI1) Z napinaniem.  Co jakiś czas wyrzuca awarie coppa masima catena zła faza;08.06.2025;DEBECMACI1;ZPM5;103;Zużycie;;;;ZPM5;108;utrzymanie ruchu;08.06.2025;10:28:23;08.06.2025;12:17:02;08.06.2025;11:47:35;08.06.2025;12:17:02;0;H;SZPARDANI1;08.06.2025
50000224837;PLM1;PLPA;UGP12;Problem z modułem sterującym od zamykań;PLPA-PR-U12-011312;NUTELLA B-READY;PLPA-PR-U12-011312-003;NUTELLA B-READY PAKOWANIE;10126856;1 - Zespół kartoniarek SCHUBERT;90300030;ZAK  CZPT DMNK KWS  MOBI NPT  PRRO;09.06.2025;;PACUCPRZE1;09.06.2025;00:10:15;12680282;1P;09.06.2025 07:05:21 CET MACIEJ FRĄCZEK (FRACZMACI1) Wymiana i programowanie automatyk;09.06.2025;STULEDOMI1;ZPM5;102;Zacinanie się;;;;ZPM5;112;Niska jakość części zamiennych;09.06.2025;00:01:46;09.06.2025;07:05:51;09.06.2025;00:10:13;09.06.2025;07:04:52;7,07;H;DOROZKRZY1;07.07.2025
50000224838;PLM1;PLPA;UGP12;Przegrzewanie pompy nr2;PLPA-PR-U12-010801;KINDER CARDS;PLPA-PR-U12-010801-002;KINDER CARDS MODELATOR;10217097;1-Zespół pomp próżniowych BUSCH;90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;09.06.2025;;RYCHTGABR2;09.06.2025;00:11:29;12680178;1P;09.06.2025 02:46:54 CET GABRIEL RYCHTA (RYCHTGABR2);09.06.2025;RYCHTGABR2;ZPM5;105;Zatkanie;;;;;;;09.06.2025;00:10:28;09.06.2025;12:12:02;09.06.2025;00:11:26;09.06.2025;02:46:36;12,03;H;DOROZKRZY1;07.07.2025
50000224839;PLM1;PLPA;UGP12;Problem z zamykaniem czapy;PLPA-PR-U12-011312;NUTELLA B-READY;PLPA-PR-U12-011312-003;NUTELLA B-READY PAKOWANIE;10127015;1 - Zespół kartoniarek Abrigo;90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;09.06.2025;;CZACHTOMA1;09.06.2025;05:27:49;12680417;1P;09.06.2025 07:18:05 CET ŁUKASZ WOLNIEWICZ (WOLNILUKA1) wymiana ssawek;09.06.2025;STULEDOMI1;ZPM5;103;Zużycie;;;;;;;09.06.2025;05:26:22;09.06.2025;07:32:02;09.06.2025;05:27:46;09.06.2025;07:17:41;2,09;H;DOROZKRZY1;07.07.2025
50000224840;PLM1;PLPA;UGP13;Siat źle ucina taśmę;PLPA-PR-U13-010401;TABLETS;PLPA-PR-U13-010401-003;TABLETS Pakowanie;10167738;1-Linia pakowania 1;90300020;ZAK  BrMt KWS  MOBI PRRO;03.06.2025;;PRYKIMARC1;03.06.2025;13:26:28;12674139;1P;03.06.2025 14:25:43 CET MARCIN PRYKIEL (PRYKIMARC1) Regulacja noża;03.06.2025;MATERKARO1;ZPM5;102;Zacinanie się;;;;;;;03.06.2025;13:02:41;03.06.2025;22:41:16;03.06.2025;13:26:25;03.06.2025;14:24:54;0;H;DOROZKRZY1;07.07.2025
50000224841;PLM1;PLPA;UGP22;Nieszczelny robotach;PLPA-PR-U22;UGP22 KINDER JOY;PLPA-PR-U22-010337;KJ T3 SCHUBERT;10080146;1-Linia pakująca Schubert;90300020;ZWOL BrMt KWS  MOBI PRRO;03.06.2025;;PROCEJAKU1;03.06.2025;17:31:24;12674487;1P;03.06.2025 17:38:46 CET Jakub Procek (PROCEJAKU1);03.06.2025;LEWANPAWE1;ZPM5;104;Złamanie;;;;ZPM5;108;utrzymanie ruchu;03.06.2025;16:54:59;03.06.2025;17:53:37;03.06.2025;17:31:21;03.06.2025;17:38:37;0,98;H;;
50000224842;PLM4;PLPA;UGP12;Modernizacja układu grzania lecytyny;PLPA-PR-U12-010801;KINDER CARDS;PLPA-PR-U12-010801-001;KINDER CARDS PREPARACJA;10216978;1-Strefa przygotowania ciasta;90300020;ZWOL BrMt KWS  PRRO;04.06.2025;;DIDUCPAWE1;04.06.2025;12:51:51;12675467;PQ;;04.06.2025;DIDUCPAWE1;;;;;;;;;;04.06.2025;12:51:13;;00:00:00;04.06.2025;12:51:50;;00:00:00;0;H;;
50000224843;PLM1;PLPA;UGP31;ZATRZYMYWANIE SIE NALEWARKI;PLPA-PR-U31-011332;Nutella T750;PLPA-PR-U31-011332-001;Nutella 750g;10107826;1-Nalewarka T700;90300020;ZAK  CZPT BrMt KWS  PRRO;05.06.2025;05.06.2025;KOLOSLUKA1;05.06.2025;15:38:23;12677417;1P;05.06.2025 15:40:18 CET ŁUKASZ KOŁOSOWSKI (KOLOSLUKA1) Diagnostyka i wymiana czujnika od obecności słoika na nalewarce.;05.06.2025;KOLOSLUKA1;ZPM6;110;Przerwa w obwodzie;;;;ZPM5;108;utrzymanie ruchu;05.06.2025;15:38:21;;00:00:00;05.06.2025;08:20:00;05.06.2025;09:20:00;0;H;KOMORPATR1;15.07.2025
50000224844;PLM1;PLPA;UGP22;BRAK POMIARU TEMPERATURY;PLPA-PR-U22-010325;KJ LINIA 1;PLPA-PR-U22-010325-002;KJ 1 PAKOWANIE;10107619;1-Zespół kartoniarki K2;90300020;ZWOL CZPT BrMt KWS  PRRO;05.06.2025;05.06.2025;KOLOSLUKA1;05.06.2025;15:41:53;12677419;1P;05.06.2025 15:43:49 CET ŁUKASZ KOŁOSOWSKI (KOLOSLUKA1) Regulacje i poprawa połączeń na weżu od robatecha.;05.06.2025;KOLOSLUKA1;ZPM6;108;Błąd pomiaru;;;;ZPM5;108;utrzymanie ruchu;05.06.2025;15:41:51;;00:00:00;05.06.2025;10:30:00;05.06.2025;11:00:00;0;H;;
50000224845;PLM1;PLPA;UGP31;ZŁE PODAWANIE ETYKIETY;PLPA-PR-U31-011330;Nutella T200 glass;PLPA-PR-U31-011330-001;Nutella 200g;10107906;1-Automat etykietujący T200;90300020;ZAK  CZPT BrMt KWS  PRRO;05.06.2025;05.06.2025;KOLOSLUKA1;05.06.2025;15:46:05;12677620;1P;05.06.2025 15:48:13 CET ŁUKASZ KOŁOSOWSKI (KOLOSLUKA1) Regulacje i ustawianie promarków.;05.06.2025;KOLOSLUKA1;ZPM6;107;Awaria sterowania;;;;ZPM5;108;utrzymanie ruchu;05.06.2025;15:46:03;;00:00:00;05.06.2025;13:00:00;05.06.2025;13:30:00;0;H;KOMORPATR1;15.07.2025
50000224846;PLM6;PLPA;UGP21;Awaria doszczelnianie;PLPA-PR-U21-010123;FIGURA CAVA;PLPA-PR-U21-010179-001;FC PAKOWANIE IFC T75 1;10127105;1-Maszyna pakująca IFC T75 1;90300030;ZWOL CZPT BrMt KWS  MOBI PRRO;06.06.2025;;KOLICPATR2;06.06.2025;14:06:55;12678392;1P;06.06.2025 14:09:42 CET Patryk Koliczkowski (KOLICPATR2) Reset silnika m21 wyjechanie na „ręku” z pozycji kolizyjnej wymian;06.06.2025;MUSZYGRZE1;ZPM6;107;Awaria sterowania;PM1;0040;Części daleko od miejsca naprawy;ZPM5;108;utrzymanie ruchu;06.06.2025;10:37:57;06.06.2025;14:22:04;06.06.2025;14:06:52;06.06.2025;14:07:04;3,74;H;;
50000224847;PLM1;PLPA;UGP13;Nieszczelności;PLPA-PR-U13-010401;TABLETS;PLPA-PR-U13-010401-003;TABLETS Pakowanie;10167748;1-Linia pakowania 3;90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;07.06.2025;;PRYKIMARC1;07.06.2025;07:35:42;12679267;1P;07.06.2025 08:21:33 CET MARCIN PRYKIEL (PRYKIMARC1) Regulacja docisku grzałki zgrzewu poprzecznego;07.06.2025;SZURNDAMI1;ZPM5;100;Deformacja;;;;;;;07.06.2025;07:23:03;07.06.2025;08:34:23;07.06.2025;07:35:32;07.06.2025;08:19:23;1,19;H;DOROZKRZY1;07.07.2025
50000224848;PLM1;PLPA;UGP11;Dziury w siatce;PLPA-PR-U11-010703;RAFFAELLO LINIA 2;PLPA-PR-U11-010703-003;MODELATOR RAFFAELLO;10117945;1-Zespół chłodniczy 2;90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;07.06.2025;;FLONTPIOT1;07.06.2025;07:38:00;12679383;1P;07.06.2025 09:02:00 CET Piotr Flont (FLONTPIOT1) Tel. 486714684 Naprawa siatki;07.06.2025;NIEDZZBIG1;ZPM5;104;Złamanie;;;;ZPM5;108;utrzymanie ruchu;07.06.2025;07:33:43;07.06.2025;09:04:55;07.06.2025;07:37:57;07.06.2025;09:01:14;1,52;H;DOROZKRZY1;07.07.2025
50000224849;PLM1;PLPA;FACILITIES;BŁĄD FALOWNIKA STÓŁ NR.2;PLPA-LG-001-100010;Magazyn opakowań;PLPA-LG-001-100010-005;Przenośnik hala 1;10227848;1-Przenośniki MECALUX;90300020;ZWOL CZPT BrMt BŁKL KWS  PRRO;07.06.2025;07.06.2025;STEPOKRZY1;07.06.2025;20:44:27;12679724;1P;07.06.2025 20:47:38 CET KRZYSZTOF STĘPOWSKI (STEPOKRZY1) blokada łańcucha żle ustawiona zębatka wolna prowadzaca regulacja;07.06.2025;STEPOKRZY1;ZPM5;102;Zacinanie się;;;;ZPM5;108;utrzymanie ruchu;07.06.2025;20:44:22;;00:00:00;07.06.2025;19:00:22;07.06.2025;20:00:19;0;H;;
50000224850;PLM1;PLPA;UGP22;AWARIA FALOWNIKA;PLPA-PR-U22-010326;KJ LINIA 2;PLPA-PR-U22-010326-002;KJ 2 PAKOWANIE;10107809;1-Linia pakowania 2.2;90300020;ZWOL CZPT DMNK KWS  NPT  PRRO;08.06.2025;08.06.2025;AUGUSLUKA1;08.06.2025;18:49:31;12679919;1P;08.06.2025 18:52:29 CET ŁUKASZ AUGUSIEWICZ (AUGUSLUKA1) wymiana falownika;08.06.2025;AUGUSLUKA1;ZPM6;107;Awaria sterowania;;;;ZPM5;108;utrzymanie ruchu;08.06.2025;18:49:29;08.06.2025;19:05:00;08.06.2025;18:10:00;08.06.2025;18:50:00;0,26;H;AUGUSLUKA1;17.06.2025
50000224851;PLM4;PLPA;UGP31;Regulacja etykiety;PLPA-PR-U31-011330;Nutella T200 glass;PLPA-PR-U31-011330-001;Nutella 200g;10107904;1-Etykieciarka T200;90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;09.06.2025;;LESNEROBE1;09.06.2025;12:03:31;12680747;PQ;;09.06.2025;NOWAKANET2;;;;;;;;;;09.06.2025;12:02:26;;00:00:00;09.06.2025;12:03:28;09.06.2025;12:51:17;0;H;KOMORPATR1;15.07.2025
50000224852;PLM1;PLPA;UGP21;Ustawianie łańcucha;PLPA-PR-U21-010123;FIGURA CAVA;PLPA-PR-U21-010169-001;FC PAKOWANIE IFC T110 1;10079783;1-Maszyna pakująca IFC T110;90300030;ZWOL BrMt KWS  MOBI PRRO;09.06.2025;;SKRETKACP1;09.06.2025;18:05:37;12680613;1P;09.06.2025 18:05:51 CET KACPER SKRĘTOWSKI (SKRETKACP1);09.06.2025;MUSZYGRZE1;ZPM6;107;Awaria sterowania;;;;;;;09.06.2025;12:54:20;09.06.2025;18:20:45;09.06.2025;18:05:32;09.06.2025;18:05:45;5,44;H;;
50000224853;PLM1;PLPA;UGP21;Awaria łańcucha głównego;PLPA-PR-U21-010123;FIGURA CAVA;PLPA-PR-U21-010169-001;FC PAKOWANIE IFC T110 1;10079783;1-Maszyna pakująca IFC T110;90300030;ZWOL BrMt KWS  MOBI PRRO;09.06.2025;;SKRETKACP1;09.06.2025;18:06:04;12681631;1P;09.06.2025 19:15:02 CET KACPER SKRĘTOWSKI (SKRETKACP1) Ustawienie łańcucha głównego , kalibracja maszyny 30 min;09.06.2025;MUSZYGRZE1;ZPM6;107;Awaria sterowania;;;;;;;09.06.2025;18:04:02;09.06.2025;19:28:42;09.06.2025;18:06:02;09.06.2025;19:13:42;1,41;H;;
50000224854;PLM1;PLPA;UGP22;Regulacja kartonika sektor C;PLPA-PR-U22;UGP22 KINDER JOY;PLPA-PR-U22-010337;KJ T3 SCHUBERT;10080146;1-Linia pakująca Schubert;90300020;ZWOL CZPT BrMt KWS  MOBI PRRO;10.06.2025;;GRUSZHUBE1;10.06.2025;00:37:10;12681777;1P;10.06.2025 02:49:13 CET HUBERT GRUSZCZYŃSKI (GRUSZHUBE1) Redukcje;10.06.2025;BILSKMARI1;ZPM5;102;Zacinanie się;;;;;;;10.06.2025;00:18:55;10.06.2025;05:36:24;10.06.2025;00:37:07;10.06.2025;02:48:45;5,29;H;;
50000224855;PLM1;PLPA;UGP21;Regulacje st3;PLPA-PR-U21-010121;KINDER SURPRISE;PLPA-PR-U21-010121-063;KS LINIA PAKOWANIA GR-07 7;10115321;1- Maszyna Pakująca GR07 - 7;90300020;ZWOL BrMt KWS  MOBI PRRO;10.06.2025;;BIEDRPATR1;10.06.2025;01:36:06;12681901;1P;10.06.2025 01:36:55 CET PATRYK BIEDRZYCKI (BIEDRPATR1) Regulacja st3;09.06.2025;CZERWEDYT1;ZPM5;102;Zacinanie się;;;;;;;09.06.2025;22:37:08;10.06.2025;01:36:22;10.06.2025;01:36:03;10.06.2025;01:36:22;2,99;H;;
50000224856;PLM1;PLPA;UGP21;AWARIA KOMUNIKACJI;PLPA-PR-U21-010121;KINDER SURPRISE;PLPA-PR-U21-010121-073;KS LINIA PAKOWANIA GR-07 8;10115322;1-Maszyna Pakująca GR07 - 8;90300020;ZWOL CZPT BrMt KWS  PRRO;10.06.2025;10.06.2025;KOWALDAMI1;10.06.2025;02:10:54;12682054;1P;10.06.2025 02:11:45 CET Damian Kowalski (KOWALDAMI1) Reset 24v oraz komunikacji 10.06.2025 02:13:45 CET Andrzej Szyszka (SZYSZAN;10.06.2025;KOWALDAMI1;ZPM6;107;Awaria sterowania;;;;ZPM5;108;utrzymanie ruchu;10.06.2025;02:10:51;10.06.2025;02:15:24;10.06.2025;01:30:51;10.06.2025;02:00:24;0,08;H;;
50000224857;PLM1;PLPA;UGP13;Problem z opiłkami;PLPA-PR-U13;UGP13 TABLETS+ROCHER FIGURES;PLPA-PR-U13-010175;IFCR PAKOWNIE WIEWIÓRKA/BAŁWAN/JAJKO;10081046;1-Linia pakowania IFCR;90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;10.06.2025;;GROCHDANI1;10.06.2025;07:27:12;12682146;1P;10.06.2025 13:48:03 CET Daniel Grochal (GROCHDANI1);10.06.2025;JASINPIOT1;ZPM5;100;Deformacja;;;;;;;10.06.2025;07:26:08;10.06.2025;14:13:41;10.06.2025;07:27:09;10.06.2025;12:00:00;0;H;DOROZKRZY1;07.07.2025
50000224858;PLM1;PLPA;UGP43;Do wymiany pasek 300L;PLPA-PR-U43-011445;KB 2.;PLPA-PR-U43-011445-003;KB 2. Pakowanie;10102053;1-Pakowaczka 7;90300020;ZWOL CZPT BrMt KWS  MOBI PRRO;10.06.2025;;ZIELIWOJC1;10.06.2025;11:55:09;12682770;1P;10.06.2025 12:12:38 CET WOJCIECH ZIELIŃSKI (ZIELIWOJC1);10.06.2025;NOWAKPAWE1;ZPM5;103;Zużycie;PM1;0040;Części daleko od miejsca naprawy;ZPM5;108;utrzymanie ruchu;10.06.2025;11:52:43;10.06.2025;12:20:29;10.06.2025;11:55:06;10.06.2025;12:12:07;0,46;H;;
50000224859;PLM1;PLPA;UGP12;Awaria stołu zagniatającego;PLPA-PR-U12-011312;NUTELLA B-READY;PLPA-PR-U12-011312-003;NUTELLA B-READY PAKOWANIE;10126856;1 - Zespół kartoniarek SCHUBERT;90300020;ZAK  CZPT BrMt KWS  MOBI PRRO;10.06.2025;;CZACHTOMA1;10.06.2025;16:37:14;12683194;1P;10.06.2025 16:56:08 CET TOMASZ CZACHOROWSKI (CZACHTOMA1) Odblokowanie siłownika formującego;10.06.2025;MALINKACP1;ZPM5;102;Zacinanie się;;;;ZPM5;108;utrzymanie ruchu;10.06.2025;16:31:30;10.06.2025;16:59:11;10.06.2025;16:37:11;10.06.2025;16:55:31;0,46;H;DOROZKRZY1;07.07.2025
50000224860;PLM1;PLPA;UGP21;Gniecie figurki;PLPA-PR-U21-010123;FIGURA CAVA;PLPA-PR-U21-010173-002;FC PAKOWANIE T15 2;10153025;1-Maszyna pakująca T15 2;90300020;ZWOL BrMt KWS  MOBI PRRO;03.06.2025;;GADEKJACE1;03.06.2025;13:40:42;12674054;1P;03.06.2025 13:41:07 CET JACEK GĄDEK (GADEKJACE1);03.06.2025;KUCHAKONR1;ZPM5;102;Zacinanie się;;;;;;;03.06.2025;09:35:00;03.06.2025;13:55:57;03.06.2025;13:40:38;03.06.2025;13:40:57;4,35;H;;
50000224861;PLM6;PLPA;UGP12;Preparator c. ciemne- praca łożyska;PLPA-PR-U12-010801;KINDER CARDS;PLPA-PR-U12-010801-001;KINDER CARDS PREPARACJA;10216978;1-Strefa przygotowania ciasta;90300020;ZAK  BrMt KWS  MOBI PRRO;03.06.2025;;RYCHTGABR2;03.06.2025;16:07:32;12607388;1P;03.06.2025 16:27:24 CET GABRIEL RYCHTA (RYCHTGABR2);11.04.2025;KONOPJAKU2;ZPM5;103;Zużycie;;;;;;;11.04.2025;05:58:59;03.06.2025;16:41:58;03.06.2025;16:07:28;03.06.2025;16:26:58;0;H;DOROZKRZY1;07.07.2025
50000224862;PLM1;PLPA;UGP31;Wyciek kremu pod pompą;PLPA-PR-U31-011332;Nutella T750;PLPA-PR-U31-011332-001;Nutella 750g;10108005;1-Zbiornik nut B9911;90300020;ZAK  BrMt KWS  MOBI PRRO;04.06.2025;;JELENKRZY1;04.06.2025;05:18:13;12659107;1P;04.06.2025 05:20:04 CET KRZYSZTOF JELEŃ (JELENKRZY1);22.05.2025;GORNARENA1;ZPM5;103;Zużycie;;;;;;;22.05.2025;06:19:01;04.06.2025;05:34:06;04.06.2025;05:18:10;04.06.2025;05:19:06;311,25;H;KOMORPATR1;15.07.2025
50000224863;PLM1;PLPA;UGP03;USZKODZONA TAŚMA TRANSPORTERA.;PLPA-PR-U32-012011;PREP. Kremu KB;PLPA-PR-U32-012011-001;Preparacja kremu KJ/KB/KBW;10108240;1-Trans. Sandwick za dwuwalcarką;90300020;ZAK  CZPT BrMt BŁKL KWS  PRRO;05.06.2025;05.06.2025;LUKASALBE1;05.06.2025;11:04:57;12676919;1P;05.06.2025 16:41:30 CET ALBERT ŁUKASIEWICZ (LUKASALBE1) Wymiana taśmy. Nitowanie taśmy.;05.06.2025;LUKASALBE1;ZPM5;100;Deformacja;PM1;0040;Części daleko od miejsca naprawy;ZPM5;108;utrzymanie ruchu;05.06.2025;11:04:55;05.06.2025;16:45:00;05.06.2025;06:05:00;05.06.2025;16:30:00;5,67;H;KOMORPATR1;15.07.2025
50000224864;PLM4;PLPA;UGP42;UGP42;PLPA-PR-U42-011443;KBW 2.;PLPA-PR-U42-011443-003;KBW 2. Pakowanie;10101585;1-Transporter łańcuchowy Paletyzacji 5-8;90300020;ZWOL DMNK KWS  NPT  PRRO;09.06.2025;12.06.2025;WARGEROBE1;05.06.2025;13:24:58;12677392;PQ;;05.06.2025;WARGEROBE1;;;;;;;;;;05.06.2025;13:23:43;;00:00:00;05.06.2025;13:24:57;;00:00:00;0;H;;
50000224865;PLM1;PLPA;UGP22;Brak mocowania.;PLPA-PR-U22-010320;KJ MODELOWANIE TARTUFINO;PLPA-PR-U22-010320-002;KJ MODELATOR TARTUFINO;10107448;1-Przekładacz na transporter listwowy;90300020;ZWOL CZPT BrMt KWS  MOBI PRRO;06.06.2025;;GORZYALBE1;06.06.2025;16:44:19;12678293;1P;06.06.2025 07:27:31 CET Kamil Wrzosek (WRZOSKAMI1) Brak mocowania ssawki na przekładaczu pic poca -----------------------------;06.06.2025;WRZOSKAMI1;ZPM5;104;Złamanie;;;;ZPM5;108;utrzymanie ruchu;06.06.2025;07:26:30;06.06.2025;17:27:46;06.06.2025;16:44:16;06.06.2025;17:12:46;10,02;H;;
50000224866;PLM1;PLPA;UGP31;UDROZNIENIE MŁYNKA;PLPA-PR-U31;UGP31 NUTELLA + TOASTING;PLPA-PR-U31-012120;Rozdrabnianie kakao;10110103;1-Młynek;90300020;ZAK  CZPT BrMt KWS  PRRO;07.06.2025;07.06.2025;GOZDZRAFA2;07.06.2025;15:02:04;12679576;1P;;07.06.2025;GOZDZRAFA2;;;;;;;;;;07.06.2025;15:01:59;;00:00:00;07.06.2025;15:01:59;;00:00:00;0;H;KOMORPATR1;15.07.2025
50000224867;PLM1;PLPA;UGP21;USTERKA CZUJNIKA;PLPA-PR-U21-010123;FIGURA CAVA;PLPA-PR-U21-010179-002;FC PAKOWANIE IFC T75 2;10127265;1-Maszyna pakująca IFC T75 2;90300020;ZWOL DMNK KWS  NPT  PRRO;07.06.2025;07.06.2025;KOWALROBE1;07.06.2025;17:24:40;12679578;1P;;07.06.2025;KOWALROBE1;;;;;;;;;;07.06.2025;17:24:35;;00:00:00;07.06.2025;17:24:35;;00:00:00;0;H;KOWALROBE1;07.06.2025
50000224868;PLM1;PLPA;UGP11;USTERKA PRZEKAŹNIKA I GRZAŁKI;PLPA-PR-U11;UGP11 RAFFAELLO;PLPA-PR-U11-010716;LINIA WAŻĄCO-PAKUJĄCA 7 RAFFAELLO;10116483;1-Szafa sterownicza linii;90300020;ZAK  DMNK KWS  NPT  PRRO;07.06.2025;07.06.2025;KOWALROBE1;07.06.2025;17:28:29;12679579;1P;;07.06.2025;KOWALROBE1;;;;;;;;;;07.06.2025;17:28:25;;00:00:00;07.06.2025;17:28:25;;00:00:00;0;H;DOROZKRZY1;07.07.2025
50000224869;PLM1;PLPA;UGP43;BŁĄD KODÓW GŁOWIC;PLPA-PR-U43;UGP43 KINDER BUENO;PLPA-PR-U43-011544;KB Multipack 2(KB 3);10101837;1-Robot zbiorczy KB 3;90300020;ZWOL CZPT BrMt KWS  PRRO;07.06.2025;07.06.2025;KRZYSTOMA2;07.06.2025;23:22:49;12679694;1P;07.06.2025 23:26:27 CET TOMASZ KRZYSZTOSZEK (KRZYSTOMA2) Przepinanie czujników od kodów w poszczególnych głowicach(formowani;07.06.2025;KRZYSTOMA2;ZPM6;107;Awaria sterowania;;;;ZPM5;100;Błąd konstrukcyjny lub zły montaż;07.06.2025;23:22:47;;00:00:00;07.06.2025;21:21:47;07.06.2025;21:51:55;0;H;;
50000224870;PLM1;PLPA;UGP43;Problem z centrowaniem taśmy pod dekore;PLPA-PR-U43-011545;KB 3.;PLPA-PR-U43-011545-002;KB 3. Modelator;10101286;1-Stół dekoracji 1;90300020;ZWOL CZPT BrMt KWS  MOBI PRRO;07.06.2025;;KALUZPIOT2;07.06.2025;23:26:06;12679693;1P;08.06.2025 00:37:53 CET WOJCIECH ZIELIŃSKI (ZIELIWOJC1);07.06.2025;RYDZPIOT1;ZPM5;102;Zacinanie się;;;;;;;07.06.2025;23:19:44;08.06.2025;05:14:48;07.06.2025;23:26:02;08.06.2025;00:37:37;5,92;H;;
50000224871;PLM1;PLPA;UGP43;PRASA FOLIJEK 2 BRAK PRACY;PLPA-PR-U43-011545;KB 3.;PLPA-PR-U43-011545-003;KB 3. Pakowanie;10101092;1-Pakowaczka zbiorcza 1;90300020;ZWOL CZPT BrMt KWS  PRRO;07.06.2025;07.06.2025;KRZYSTOMA2;07.06.2025;23:28:17;12679695;1P;07.06.2025 23:30:03 CET TOMASZ KRZYSZTOSZEK (KRZYSTOMA2) Reset softstartu;07.06.2025;KRZYSTOMA2;ZPM6;107;Awaria sterowania;;;;ZPM5;100;Błąd konstrukcyjny lub zły montaż;07.06.2025;23:28:16;;00:00:00;07.06.2025;22:01:16;07.06.2025;22:21:22;0;H;;
